"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"MUNICIPIO",2210904,"4512",4522,2301,2221,1309,2238,975,626,1086,509
2015,"MUNICIPIO",2210938,"6545",6229,3099,3130,1460,3357,1412,705,1723,702
2015,"MUNICIPIO",2210953,"2851",2753,1443,1310,814,1454,485,385,690,235
2015,"MUNICIPIO",2210979,"2703",2620,1276,1344,720,1344,556,361,685,298
2015,"MUNICIPIO",2211001,"844245",814230,380612,433618,191538,481836,140856,94292,258825,80501
2015,"MUNICIPIO",2211100,"43606",42654,21404,21250,12380,21893,8381,5991,10802,4457
2015,"MUNICIPIO",2211209,"21011",20149,9909,10240,5808,10842,3499,2994,5409,1837
2015,"MUNICIPIO",2211308,"20568",20326,9577,10749,4818,10682,4826,2391,5701,2657
2015,"MUNICIPIO",2211357,"4889",4913,2498,2415,1496,2556,861,747,1237,431
2015,"MUNICIPIO",2211407,"4334",4336,2048,2288,1099,2154,1083,545,1132,611
2015,"MUNICIPIO",2211506,"3025",2986,1492,1494,784,1523,679,373,765,356
2015,"MUNICIPIO",2211605,"2965",3076,1576,1500,695,1699,682,325,841,334
2015,"MUNICIPIO",2211704,"4375",4280,2165,2115,1211,2214,855,606,1075,434
