ANO,NIVEL,CODMUNRES,IDHM_A,IDHM_CA,IDHM_CA_M,IDHM_CA_F
2015,MUNICIPIO,2208874,NA,0.52,NA,NA
2015,MUNICIPIO,2208908,NA,0.601,NA,NA
2015,MUNICIPIO,2209005,NA,0.572,NA,NA
2015,MUNICIPIO,2209104,NA,0.601,NA,NA
2015,MUNICIPIO,2209153,NA,0.577,NA,NA
2015,MUNICIPIO,2209203,NA,0.544,NA,NA
2015,MUNICIPIO,2209302,NA,0.588,NA,NA
2015,MUNICIPIO,2209377,NA,0.567,NA,NA
2015,MUNICIPIO,2209351,NA,0.574,NA,NA
2015,MUNICIPIO,2209401,NA,0.584,NA,NA
2015,MUNICIPIO,2209450,NA,0.619,NA,NA
2015,MUNICIPIO,2209500,NA,0.613,NA,NA
2015,MUNICIPIO,2209559,NA,0.596,NA,NA
2015,MUNICIPIO,2209609,NA,0.61,NA,NA
2015,MUNICIPIO,2209658,NA,0.485,NA,NA
2015,MUNICIPIO,2209708,NA,0.57,NA,NA
2015,MUNICIPIO,2209757,NA,0.56,NA,NA
2015,MUNICIPIO,2209807,NA,0.616,NA,NA
2015,MUNICIPIO,2209856,NA,0.559,NA,NA
2015,MUNICIPIO,2209872,NA,0.515,NA,NA
2015,MUNICIPIO,2209906,NA,0.582,NA,NA
2015,MUNICIPIO,2209955,NA,0.559,NA,NA
2015,MUNICIPIO,2209971,NA,0.523,NA,NA
2015,MUNICIPIO,2210003,NA,0.645,NA,NA
2015,MUNICIPIO,2210052,NA,0.565,NA,NA
2015,MUNICIPIO,2210102,NA,0.573,NA,NA
2015,MUNICIPIO,2210201,NA,0.552,NA,NA
2015,MUNICIPIO,2210300,NA,0.594,NA,NA
2015,MUNICIPIO,2210359,NA,0.595,NA,NA
2015,MUNICIPIO,2210375,NA,0.554,NA,NA
2015,MUNICIPIO,2210383,NA,0.563,NA,NA
2015,MUNICIPIO,2210391,NA,0.535,NA,NA
2015,MUNICIPIO,2210409,NA,0.556,NA,NA
2015,MUNICIPIO,2210508,NA,0.595,NA,NA
2015,MUNICIPIO,2210607,NA,0.661,NA,NA
2015,MUNICIPIO,2210623,NA,0.536,NA,NA
2015,MUNICIPIO,2210631,NA,0.562,NA,NA
2015,MUNICIPIO,2210656,NA,0.581,NA,NA
2015,MUNICIPIO,2210706,NA,0.575,NA,NA
2015,MUNICIPIO,2210805,NA,0.627,NA,NA
2015,MUNICIPIO,2210904,NA,0.561,NA,NA
2015,MUNICIPIO,2210938,NA,0.586,NA,NA
2015,MUNICIPIO,2210953,NA,0.501,NA,NA
2015,MUNICIPIO,2210979,NA,0.579,NA,NA
2015,MUNICIPIO,2211001,NA,0.751,NA,NA
2015,MUNICIPIO,2211100,NA,0.577,NA,NA
2015,MUNICIPIO,2211209,NA,0.631,NA,NA
2015,MUNICIPIO,2211308,NA,0.647,NA,NA
2015,MUNICIPIO,2211357,NA,0.553,NA,NA
2015,MUNICIPIO,2211407,NA,0.571,NA,NA
2015,MUNICIPIO,2211506,NA,0.503,NA,NA
2015,MUNICIPIO,2211605,NA,0.565,NA,NA
2015,MUNICIPIO,2211704,NA,0.544,NA,NA
